"boot_iter","target_corr_kendall","dataset","inv_cdf_type","copula_type","tv_val_1","tv_val_2","ks_stat_1","ks_stat_2","cvm_stat_1","cvm_stat_2","smoothness_1","smoothness_2"
1,-1,"trees_df","quantile_1","gaussian",0.161290322580645,0.225806451612903,0.161290322580645,0.225806451612903,0.370794311481096,0.264654873395768,0.0985442717693349,0.21334116416688
2,-1,"trees_df","quantile_1","gaussian",0.0967741935483871,0.193548387096774,0.0967741935483871,0.193548387096774,0.075268817204301,0.522719389524801,0.112218866666705,0.274908298471616
3,-1,"trees_df","quantile_1","gaussian",0.161290322580645,0.096774193548387,0.161290322580645,0.0967741935483871,0.148109608047173,0.11064862989941,0.104679182640928,0.274908298471615
4,-1,"trees_df","quantile_1","gaussian",0.225806451612903,0.290322580645161,0.225806451612903,0.290322580645161,0.275060700659036,1.16788067984738,0.129197300449527,0.222536442768692
5,-1,"trees_df","quantile_1","gaussian",0.129032258064516,0.225806451612903,0.129032258064516,0.225806451612903,0.102323968088796,0.42074228234478,0.104100668459059,0.231366558500158
6,-1,"trees_df","quantile_1","gaussian",0.129032258064516,0.193548387096774,0.129032258064516,0.193548387096774,0.150190773499827,0.322927506070066,0.104736274146028,0.201374212891583
7,-1,"trees_df","quantile_1","gaussian",0.161290322580645,0.193548387096774,0.161290322580645,0.193548387096774,0.283385362469649,0.799514394727714,0.121164819061921,0.222932719883799
8,-1,"trees_df","quantile_1","gaussian",0.193548387096774,0.0967741935483871,0.193548387096774,0.0967741935483871,0.154353104405134,0.129379118973292,0.134218432914509,0.239871841666066
9,-1,"trees_df","quantile_1","gaussian",0.129032258064516,0.129032258064516,0.129032258064516,0.129032258064516,0.0607006590357267,0.10440513354145,0.126770264488465,0.254164650984533
10,-1,"trees_df","quantile_1","gaussian",0.129032258064516,0.193548387096774,0.129032258064516,0.193548387096774,0.131460284425945,0.439472771418661,0.103814115403108,0.226994441289152
1,-1,"mtcars_df","quantile_1","gaussian",0.21875,0.1875,0.21875,0.1875,0.635416666666667,0.227213541666667,0.254453710089581,3.04752451050276
