"","n","target_corr_kendall","distribution_1","distribution_2","inv_cdf_type","copula_type","tv_val_1","tv_val_2","ks_stat_1","ks_stat_2","cvm_stat_1","cvm_stat_2","smoothness_1","smoothness_2"
"D...272",100,-1,"uniform","mixture1","quantile_8","t",0.17876,0.11792,0.178489999999957,0.116290000000015,0.587459697133333,0.257013020233333,0.000955442573906932,0.0110366010736788
"D...273",100,-1,"uniform","mixture1","poly","gaussian",0.1142,0.10559,0.117839999999978,0.107530000000011,0.246281848733333,0.148031429433333,0.00028908585396886,0.00887717703693693
"D...274",100,-1,"uniform","mixture1","poly","t",0.13145,0.14311,0.133409999999958,0.143170000000052,0.496136259733333,0.307465086433333,0.000673896582113767,0.00598932905679027
"D...275",100,-1,"uniform","mixture1","akima","gaussian",0.09702,0.09229,0.0980099999999875,0.0940199999999847,0.240972476833333,0.146568564633333,0.00115809227252104,0.0119972337337946
"D...276",100,-1,"uniform","mixture1","akima","t",0.06204,0.09618,0.0587999999999627,0.0965800000000115,0.0556495486333333,0.173205989333333,0.00100305819904403,0.0189745864250632
"D...277",100,-1,"uniform","mixture2","quantile_1","gaussian",0.15851,0.09549,0.155750000000059,0.0960100000000088,0.574486797333333,0.161218121233333,0.00438939737908763,0.0325870559897274
"D...278",100,-1,"uniform","mixture2","quantile_1","t",0.1118,0.0843,0.11366999999997,0.0847999999999344,0.207716556633333,0.137143600333333,0.00426803429574952,0.0318375458109348
"D...279",100,-1,"uniform","mixture2","quantile_4","gaussian",0.17876,0.11706,0.179310000000027,0.114550000000001,0.938315059033333,0.369883511533333,0.000988528927085246,0.00655298763445062
"D...280",100,-1,"uniform","mixture2","quantile_4","t",0.18141,0.21032,0.1792900000001,0.212729999999741,0.816890945433333,1.44829169043333,0.000942384209093966,0.0050582157096819
"D...281",100,-1,"uniform","mixture2","quantile_7","gaussian",0.0872,0.07423,0.089359999999976,0.0734000000000045,0.130960615033333,0.101213482733333,0.000808102666323844,0.0063859765362565
"D...282",100,-1,"uniform","mixture2","quantile_7","t",0.0839099999999999,0.08591,0.0844299999999427,0.0905299999999779,0.122489769833333,0.144362109933333,0.00105245015865715,0.0113323621344214
"D...283",100,-1,"uniform","mixture2","quantile_8","gaussian",0.09059,0.11382,0.0907600000000219,0.110130000000046,0.102485456233333,0.211270846733333,0.000941341583199966,0.0116257596049717
"D...284",100,-1,"uniform","mixture2","quantile_8","t",0.12817,0.14691,0.128770000000015,0.148069999999954,0.307794507733334,0.400533779933333,0.000843828819133264,0.0127434119965787
"D...285",100,-1,"uniform","mixture2","poly","gaussian",0.12309,0.09227,0.12215999999999,0.0930300000000042,0.298495885333333,0.0802725953333333,0.000237043212444632,0.0068065899153385
"D...286",100,-1,"uniform","mixture2","poly","t",0.10632,0.07024,0.104339999999961,0.0711599999999986,0.208376468333333,0.0817976543333334,0.000397529864143042,0.0114952904036248
"D...287",100,-1,"uniform","mixture2","akima","gaussian",0.16599,0.08194,0.164620000000035,0.0839800000000273,0.603690173433334,0.0904431400333334,0.00122328715914061,0.0350589647017976
"D...288",100,-1,"uniform","mixture2","akima","t",0.09516,0.08526,0.0960699999999943,0.0846999999999619,0.105807086333333,0.142425528533333,0.000977535422092931,0.0129962830385397
"D...289",100,-1,"log_normal","normal","quantile_1","gaussian",0.07043,0.08103,0.0695100000000398,0.0795299999999971,0.0827053281333334,0.0922644279333333,0.0691498868171023,0.0193925434098877
"D...290",100,-1,"log_normal","normal","quantile_1","t",0.07011,0.14766,0.0679799999999861,0.146600000000035,0.0796838160333334,0.508563344433333,1.08464800595757,0.0472861872519561
"D...291",100,-1,"log_normal","normal","quantile_4","gaussian",0.19271,0.14923,0.194670000000044,0.149370000000024,0.577940050633333,0.441429854133333,0.0222402000786549,0.00772565831079932
"D...292",100,-1,"log_normal","normal","quantile_4","t",0.12027,0.12932,0.119540000000025,0.128080000000013,0.210828711333333,0.449635737733333,0.0309456685296088,0.00728698872771227
"D...293",100,-1,"log_normal","normal","quantile_7","gaussian",0.07394,0.05609,0.078230000000067,0.0578299999999875,0.115563278133333,0.0433956201333333,0.186958977300274,0.00753326064171871
"D...294",100,-1,"log_normal","normal","quantile_7","t",0.08168,0.14915,0.0816200000000033,0.15025000000003,0.129484318333333,0.379666132433333,0.0180391043939823,0.00758318845775395
"D...295",100,-1,"log_normal","normal","quantile_8","gaussian",0.10848,0.14498,0.109019999999964,0.14736,0.324584984333333,0.685621417333333,0.0492538342508246,0.0102656076639085
"D...296",100,-1,"log_normal","normal","quantile_8","t",0.07163,0.12232,0.0723999999999788,0.120559999999949,0.0730987453333333,0.321291507033333,0.0768907528199102,0.00640248128686797
"D...297",100,-1,"log_normal","normal","poly","gaussian",0.29371,0.19635,0.296599999999799,0.199740000000146,2.46840894413333,1.00707023593333,0.0205708046569205,0.00788140558282334
"D...298",100,-1,"log_normal","normal","poly","t",0.23089,0.0961,0.231350000000176,0.095580000000032,1.33924053793333,0.205008202733333,0.0450691486039399,0.00432003482816596
"D...299",100,-1,"log_normal","normal","akima","gaussian",0.07883,0.0864699999999999,0.079799999999993,0.0861700000000145,0.132856052833333,0.117335217933333,0.015125673778985,0.00905346507506918
"D...300",100,-1,"log_normal","normal","akima","t",0.07697,0.11303,0.0784799999999986,0.113930000000017,0.0995649178333334,0.219179482833333,0.0129643895517578,0.0156350597775864
"D...301",100,-1,"log_normal","exponential","quantile_1","gaussian",0.18239,0.15706,0.179620000000149,0.157060000000016,0.750587829833334,0.687295327633333,0.094517148839762,0.0336100836334848
"D...302",100,-1,"log_normal","exponential","quantile_1","t",0.08838,0.08895,0.0852400000000604,0.0897700000000012,0.0946737670333334,0.0823515998333334,0.19717679235516,0.0332978588677082
"D...303",100,-1,"log_normal","exponential","quantile_4","gaussian",0.09255,0.09539,0.0921299999999807,0.094660000000009,0.194382210933333,0.0761752694333333,0.0578905259238802,0.0147449470353945
"D...304",100,-1,"log_normal","exponential","quantile_4","t",0.14922,0.14692,0.148400000000068,0.147390000000008,0.477881523633333,0.598352361333333,0.0954462650806138,0.0108464970461864
"D...305",100,-1,"log_normal","exponential","quantile_7","gaussian",0.07592,0.16323,0.0776899999999794,0.167690000000006,0.0938501047333334,0.572892464033333,0.0846101920000339,0.0161969880578849
"D...306",100,-1,"log_normal","exponential","quantile_7","t",0.13036,0.09124,0.127939999999955,0.0939899999999455,0.293783528833333,0.140514935333333,0.0693551600619796,0.023367611382686
"D...307",100,-1,"log_normal","exponential","quantile_8","gaussian",0.13875,0.08934,0.136809999999992,0.0860400000000018,0.273119376033333,0.137768323033333,0.113005053690399,0.0169587243493342
"D...308",100,-1,"log_normal","exponential","quantile_8","t",0.17143,0.17494,0.169869999999915,0.174299999999899,0.929346373833334,0.839245753433333,0.0352162686491833,0.0132275790353106
"D...309",100,-1,"log_normal","exponential","poly","gaussian",0.09487,0.11786,0.0959100000000007,0.117939999999878,0.171506860133333,0.446774809733333,0.0185057334336867,0.00770503291156562
"D...310",100,-1,"log_normal","exponential","poly","t",0.13692,0.10222,0.139419999999941,0.101020000000037,0.434545670433333,0.226842016433333,0.0228083446868158,0.00785297495476108
"D...311",100,-1,"log_normal","exponential","akima","gaussian",0.15499,0.09391,0.15328999999997,0.0960300000000161,0.478466235233333,0.112710969933333,0.0658148465047882,0.00943967198468528
"D...312",100,-1,"log_normal","exponential","akima","t",0.07476,0.0886,0.075490000000018,0.086640000000033,0.0798071803333334,0.183700279133333,0.0805916692112493,0.0112391345519795
"D...313",100,-1,"log_normal","uniform","quantile_1","gaussian",0.09394,0.10661,0.0893200000000337,0.107710000000035,0.146512228133333,0.345143447233333,0.310033822693608,0.00450827078215619
"D...314",100,-1,"log_normal","uniform","quantile_1","t",0.0915,0.14128,0.0904700000000948,0.139080000000028,0.183242710233333,0.271026448533333,0.144506558315673,0.00435441445397291
"D...315",100,-1,"log_normal","uniform","quantile_4","gaussian",0.11342,0.10571,0.114870000000007,0.108689999999989,0.297609784333333,0.215325127633333,0.0623864062801775,0.00106820859880457
"D...316",100,-1,"log_normal","uniform","quantile_4","t",0.17056,0.12093,0.17166000000006,0.121750000000058,0.942459803733333,0.297544099533333,0.158301458014037,0.000876944224675802
"D...317",100,-1,"log_normal","uniform","quantile_7","gaussian",0.0905,0.10243,0.0888500000000502,0.101979999999968,0.129548811533333,0.165756849733333,0.0738419184500854,0.00105007506878056
"D...318",100,-1,"log_normal","uniform","quantile_7","t",0.10364,0.09136,0.104669999999955,0.0890100000000275,0.179266160633333,0.0914749544333334,0.0891989802786608,0.000891515881517647
"D...319",100,-1,"log_normal","uniform","quantile_8","gaussian",0.12519,0.0543199999999999,0.123550000000086,0.0565700000000245,0.359034355133333,0.0477177815333333,0.0267683945891501,0.000889150220615901
"D...320",100,-1,"log_normal","uniform","quantile_8","t",0.11298,0.16054,0.112669999999983,0.157229999999961,0.265771814133333,0.525965534033334,0.0581522775657671,0.000939402564860846
"D...321",100,-1,"log_normal","uniform","poly","gaussian",0.08889,0.10398,0.0957700000000193,0.10180000000001,0.166206126333333,0.242343800533333,0.0306861575434939,0.000482036336804445
"D...322",100,-1,"log_normal","uniform","poly","t",0.15684,0.09768,0.155370000000021,0.103449999999963,0.385944756333333,0.157143292133333,0.028460286564441,0.000332357137045211
"D...323",100,-1,"log_normal","uniform","akima","gaussian",0.06336,0.10878,0.0656799999999928,0.112490000000018,0.0637478148333333,0.202202746533333,0.00949209828135838,0.00108241853410099
"D...324",100,-1,"log_normal","uniform","akima","t",0.13429,0.11745,0.132989999999997,0.116970000000019,0.323796542833333,0.293637962733333,0.0195284346965569,0.000928588810205449
"D...325",100,-1,"log_normal","log_normal","quantile_1","gaussian",0.10415,0.08636,0.104279999999997,0.0830400000000282,0.193454456933333,0.102433243733333,0.167412593214932,0.0741745321850686
"D...326",100,-1,"log_normal","log_normal","quantile_1","t",0.0880500000000001,0.18705,0.0890799999999806,0.183000000000005,0.200847609033333,0.563113615733333,0.0503267466450864,0.0658939173820426
"D...327",100,-1,"log_normal","log_normal","quantile_4","gaussian",0.09424,0.08611,0.0909799999999717,0.0851900000000002,0.123806563633333,0.0601401244333333,0.0269055499541607,0.0308464551628751
"D...328",100,-1,"log_normal","log_normal","quantile_4","t",0.10174,0.1066,0.103429999999999,0.103370000000002,0.175103692833333,0.189554842233333,0.0304585604085492,0.0556514137048442
"D...329",100,-1,"log_normal","log_normal","quantile_7","gaussian",0.09157,0.11405,0.0920500000000424,0.11365,0.200848204233333,0.149533857333333,0.0364685989845642,0.0364558380541343
"D...330",100,-1,"log_normal","log_normal","quantile_7","t",0.1636,0.08639,0.165230000000051,0.0889999999999763,0.410747435133333,0.111673961433333,0.0456911396676134,0.0319349588883052
"D...331",100,-1,"log_normal","log_normal","quantile_8","gaussian",0.15171,0.15617,0.151340000000007,0.158250000000016,0.457542061333333,0.594930833833334,0.13013706201989,0.0212724415813747
"D...332",100,-1,"log_normal","log_normal","quantile_8","t",0.14091,0.105,0.139739999999934,0.105129999999977,0.442525033733333,0.242063866933333,0.0475854864541774,0.0781482217558146
"D...333",100,-1,"log_normal","log_normal","poly","gaussian",0.13408,0.12778,0.13226000000001,0.127570000000164,0.302019237033333,0.620918448833333,0.0390340997491916,0.00756465373076452
"D...334",100,-1,"log_normal","log_normal","poly","t",0.11038,0.10629,0.111700000000001,0.105939999999978,0.238141646033333,0.186534806433333,0.0241144457411902,0.0145883637817775
"D...335",100,-1,"log_normal","log_normal","akima","gaussian",0.0882,0.09524,0.0853299999999807,0.0911200000000019,0.126742092633333,0.187475283333333,0.290318322317509,0.0487616321613669
"D...336",100,-1,"log_normal","log_normal","akima","t",0.08552,0.12915,0.0832499999999777,0.125339999999998,0.157475201433333,0.373409494933333,0.0139280641636528,0.0926168085021637
"D...337",100,-1,"log_normal","beta","quantile_1","gaussian",0.12384,0.12006,0.122400000000056,0.119829999999997,0.449113681033334,0.165127643733333,0.563062010278097,0.00486772964442194
"D...338",100,-1,"log_normal","beta","quantile_1","t",0.13769,0.13604,0.137610000000013,0.134530000000038,0.447254020033333,0.301717244733333,0.264385097936691,0.00369205132772383
"D...339",100,-1,"log_normal","beta","quantile_4","gaussian",0.12957,0.08946,0.127399999999934,0.088810000000074,0.307349436333333,0.161476149733333,0.0424968521341093,0.00123173658470106
"D...340",100,-1,"log_normal","beta","quantile_4","t",0.0783999999999999,0.16143,0.0775400000000274,0.157980000000083,0.0957293990333334,0.755981504033333,0.118267137678552,0.000987217449917945
"D...341",100,-1,"log_normal","beta","quantile_7","gaussian",0.19259,0.11226,0.191239999999998,0.11282999999999,0.805600465033333,0.201282061333333,0.0359365939409308,0.000822120275571164
"D...342",100,-1,"log_normal","beta","quantile_7","t",0.10071,0.06703,0.101920000000007,0.0679799999999979,0.196476091833333,0.0717493601333334,0.0334273676179629,0.00087846540873286
"D...343",100,-1,"log_normal","beta","quantile_8","gaussian",0.0844999999999999,0.1031,0.0847000000000296,0.104709999999992,0.126204447333333,0.221117391233333,0.0866466385857317,0.00108225804252456
"D...344",100,-1,"log_normal","beta","quantile_8","t",0.10728,0.0778800000000001,0.107120000000014,0.0780900000000632,0.215117922433333,0.0955782000333333,0.0218207326282349,0.00124103291417119
"D...345",100,-1,"log_normal","beta","poly","gaussian",0.11802,0.0737,0.117899999999948,0.0729799999999868,0.369403490633333,0.0667690326333334,0.0135498337833333,0.000775198815628389
"D...346",100,-1,"log_normal","beta","poly","t",0.12013,0.07402,0.12060999999991,0.0727200000001011,0.213202310333333,0.136992525533333,0.0244746212220709,0.000582906731920145
"D...347",100,-1,"log_normal","beta","akima","gaussian",0.10042,0.18072,0.0989900000000034,0.173850000000033,0.127238757633333,0.655007583633333,0.0987822729852851,0.00175978936559672
"D...348",100,-1,"log_normal","beta","akima","t",0.1467,0.10616,0.147850000000027,0.105659999999987,0.456537479033334,0.271694346333333,0.0346845705049629,0.000947550955097303
"D...349",100,-1,"log_normal","student_t","quantile_1","gaussian",0.0982,0.11714,0.101150000000033,0.116809999999994,0.202032813133333,0.144377204133333,0.115530901186587,0.036500620690876
"D...350",100,-1,"log_normal","student_t","quantile_1","t",0.06765,0.11116,0.0670599999999634,0.109660000000017,0.0708711488333333,0.263005998433333,0.121706857118121,0.128466350053716
"D...351",100,-1,"log_normal","student_t","quantile_4","gaussian",0.06337,0.10109,0.0638599999999245,0.100869999999999,0.0824155880333334,0.0907500971333332,0.0486953064560133,0.0212046134908167
"D...352",100,-1,"log_normal","student_t","quantile_4","t",0.11704,0.14456,0.121609999999956,0.144069999999975,0.222265272833333,0.380118534733333,0.0466060771601832,0.081284426417755
"D...353",100,-1,"log_normal","student_t","quantile_7","gaussian",0.12209,0.11021,0.120660000000071,0.110529999999972,0.436553306933333,0.355330877933333,0.0161532013305155,0.040220430658908
"D...354",100,-1,"log_normal","student_t","quantile_7","t",0.12772,0.16814,0.128949999999964,0.167790000000047,0.430410879133333,0.678763907833334,0.0309540384798998,0.0916807222372164
"D...355",100,-1,"log_normal","student_t","quantile_8","gaussian",0.08286,0.08544,0.082439999999974,0.0869699999999697,0.134849795633333,0.166702992533333,0.0353001543381071,0.0522982606654952
"D...356",100,-1,"log_normal","student_t","quantile_8","t",0.11762,0.07941,0.118580000000019,0.0793599999999602,0.173559632033333,0.113934942433333,0.104708814293035,0.0407092744836874
"D...357",100,-1,"log_normal","student_t","poly","gaussian",0.08985,0.12943,0.0900500000000229,0.130559999999955,0.161614097233333,0.257908224933333,0.011828783792339,0.024093882438962
"D...358",100,-1,"log_normal","student_t","poly","t",0.12647,0.0971,0.124919999999979,0.0956100000000494,0.362965079933333,0.173634085033333,0.0563996959878394,0.127715748660523
"D...359",100,-1,"log_normal","student_t","akima","gaussian",0.16991,0.16042,0.166309999999977,0.162340000000055,0.394361318933333,0.408027642633333,0.116583927769641,0.329834030298395
"D...360",100,-1,"log_normal","student_t","akima","t",0.16431,0.1533,0.162899999999979,0.151670000000035,0.622309509533333,0.440943740933333,0.0151928226857582,0.0277349359350823
"D...361",100,-1,"log_normal","mixture1","quantile_1","gaussian",0.12065,0.11125,0.119699999999988,0.109990000000005,0.224945456633333,0.301922858133333,0.0830691942295094,0.0457595325005108
"D...362",100,-1,"log_normal","mixture1","quantile_1","t",0.09593,0.0915699999999999,0.0972799999999753,0.0935400000000287,0.256319548433333,0.192794865233333,0.248810628711273,0.0656366319030582
"D...363",100,-1,"log_normal","mixture1","quantile_4","gaussian",0.06459,0.13488,0.0679400000000386,0.135360000000014,0.0686002301333333,0.413409215133333,0.040700429595865,0.0199477231537696
"D...364",100,-1,"log_normal","mixture1","quantile_4","t",0.1777,0.09035,0.175539999999997,0.0923899999999685,0.549692374933334,0.209024427033333,0.0351013850572652,0.0122215700181894
"D...365",100,-1,"log_normal","mixture1","quantile_7","gaussian",0.12048,0.09429,0.122929999999945,0.0930999999999471,0.333685999333333,0.138986482433333,0.0103294229097065,0.00925219641612817
"D...366",100,-1,"log_normal","mixture1","quantile_7","t",0.09574,0.11516,0.0970600000000029,0.115210000000041,0.251399192833333,0.366059553533333,0.0334395904824951,0.0129870360677286
"D...367",100,-1,"log_normal","mixture1","quantile_8","gaussian",0.06052,0.11187,0.0590700000000305,0.112459999999995,0.0571427999333333,0.201032775133333,0.389158176442018,0.0121160966133636
"D...368",100,-1,"log_normal","mixture1","quantile_8","t",0.13061,0.15291,0.132550000000005,0.148799999999945,0.143639570833333,0.501242219433333,0.0116853248054562,0.0117472572477222
"D...369",100,-1,"log_normal","mixture1","poly","gaussian",0.12306,0.10531,0.122829999999919,0.10812000000001,0.329755541733334,0.278176982133333,0.0331197251987932,0.00739463840310955
"D...370",100,-1,"log_normal","mixture1","poly","t",0.1471,0.12207,0.146539999999982,0.123040000000092,0.638286991133334,0.355439737433333,0.0173070303588388,0.00486872187350348
"D...371",100,-1,"log_normal","mixture1","akima","gaussian",0.1027,0.0981500000000001,0.101659999999988,0.0975000000000013,0.131054616733333,0.150321584733333,0.0494904421319543,0.0140257692506053
"D...372",100,-1,"log_normal","mixture1","akima","t",0.10513,0.10429,0.104539999999992,0.103070000000056,0.253953141533333,0.192104107833333,0.408271059625768,0.013870018792782
"D...373",100,-1,"log_normal","mixture2","quantile_1","gaussian",0.13523,0.12908,0.136829999999955,0.129159999999959,0.310620236733333,0.274390094333333,0.738964860074052,0.0695979696979227
"D...374",100,-1,"log_normal","mixture2","quantile_1","t",0.07069,0.27793,0.0688399999999815,0.276290000000156,0.0780380851333334,2.02370550773333,0.0450600903332139,0.0235674775038882
"D...375",100,-1,"log_normal","mixture2","quantile_4","gaussian",0.0736,0.12145,0.0747399999999777,0.12327999999997,0.107026518133333,0.245302234833333,0.0413925104129672,0.00780556684043123
"D...376",100,-1,"log_normal","mixture2","quantile_4","t",0.12373,0.13915,0.122370000000006,0.139280000000033,0.226460010933333,0.477842837233333,0.0720163000129752,0.00801948695801317
"D...377",100,-1,"log_normal","mixture2","quantile_7","gaussian",0.15027,0.11516,0.150250000000088,0.113769999999991,0.615715132933333,0.193014315333333,0.0296535510156785,0.0107487319551248
"D...378",100,-1,"log_normal","mixture2","quantile_7","t",0.17153,0.13786,0.168729999999983,0.133080000000077,0.737625852533334,0.477926424533333,0.0495212694995789,0.0102205817068846
"D...379",100,-1,"log_normal","mixture2","quantile_8","gaussian",0.11474,0.06654,0.114189999999968,0.0649899999999883,0.199146683633333,0.0580037604333333,0.0131952014587393,0.00993346945246393
"D...380",100,-1,"log_normal","mixture2","quantile_8","t",0.10656,0.20604,0.109809999999998,0.206019999999954,0.223069156033333,1.04097713493333,0.0155546423528174,0.007944433731766
"D...381",100,-1,"log_normal","mixture2","poly","gaussian",0.12682,0.12092,0.125279999999993,0.117800000000017,0.297465584233333,0.312896242333333,0.0221246480437558,0.00554334670161857
"D...382",100,-1,"log_normal","mixture2","poly","t",0.14108,0.1456,0.140600000000019,0.149020000000065,0.449420779233333,0.585540690133333,0.0219866039857498,0.00926908459914656
"D...383",100,-1,"log_normal","mixture2","akima","gaussian",0.0936,0.13308,0.0954900000000161,0.134480000000053,0.173663116533333,0.528707202133334,0.0821192000819263,0.00829375053791446
"D...384",100,-1,"log_normal","mixture2","akima","t",0.10461,0.12992,0.103639999999991,0.133600000000031,0.173687552933333,0.250194103333333,0.013649387145728,0.0147726991146331
"D...385",100,-1,"beta","normal","quantile_1","gaussian",0.12359,0.11052,0.125160000000012,0.110569999999981,0.200275680133333,0.307360396933333,0.00452830784201243,0.0274927545124001
"D...386",100,-1,"beta","normal","quantile_1","t",0.19465,0.17321,0.195229999999928,0.173380000000055,1.15116399763333,0.529674173633334,0.00363677271043722,0.032752480130508
"D...387",100,-1,"beta","normal","quantile_4","gaussian",0.14428,0.14125,0.146059999999996,0.138520000000036,0.293661984233334,0.633730506533333,0.00209566069662203,0.0110428779644996
"D...388",100,-1,"beta","normal","quantile_4","t",0.11632,0.1235,0.115719999999996,0.120269999999979,0.237024493933333,0.388048077933333,0.000785581226527419,0.0102822533645437
"D...389",100,-1,"beta","normal","quantile_7","gaussian",0.10983,0.12641,0.107710000000023,0.12200999999997,0.299319101133333,0.288526865933333,0.00121862719398511,0.00684061868229891
"D...390",100,-1,"beta","normal","quantile_7","t",0.0566,0.13501,0.0563800000000045,0.134359999999991,0.0510474832333334,0.485586510333333,0.00109271374620973,0.0119998396523768
"D...391",100,-1,"beta","normal","quantile_8","gaussian",0.0758,0.07363,0.0752699999999881,0.0739099999999853,0.100717812233333,0.0674558810333333,0.00113086134861942,0.00532815977545999
"D...392",100,-1,"beta","normal","quantile_8","t",0.14854,0.13248,0.151689999999966,0.13423,0.494681156333333,0.355701582133333,0.000847248799173734,0.0102246417137416
"D...393",100,-1,"beta","normal","poly","gaussian",0.05997,0.07779,0.063789999999921,0.0796700000000082,0.118663437633333,0.148349341433333,0.000860541541990042,0.00606949731779212
"D...394",100,-1,"beta","normal","poly","t",0.11456,0.11264,0.11738999999998,0.113259999999983,0.262484122633333,0.254365570333333,0.00070709770561625,0.00598138067649968
"D...395",100,-1,"beta","normal","akima","gaussian",0.10489,0.11381,0.105339999999989,0.112390000000005,0.231009299833333,0.364019321633333,0.00173857713002938,0.00621000495487001
"D...396",100,-1,"beta","normal","akima","t",0.10814,0.11477,0.112819999999995,0.11358999999986,0.258487189333333,0.464642583333333,0.000993500761993102,0.0193077539354543
"D...397",100,-1,"beta","exponential","quantile_1","gaussian",0.10634,0.1232,0.104830000000023,0.124620000000016,0.192528241533333,0.315766735833333,0.00278620754980661,0.0937178997906661
"D...398",100,-1,"beta","exponential","quantile_1","t",0.08809,0.12173,0.0890099999999921,0.118279999999968,0.184141802733333,0.247376259133333,0.00544390666699552,0.047987451069552
"D...399",100,-1,"beta","exponential","quantile_4","gaussian",0.18531,0.18559,0.184840000000087,0.184590000000076,0.759838786733334,0.896421149633334,0.000811164370240417,0.0131213082668221
"D...400",100,-1,"beta","exponential","quantile_4","t",0.14996,0.09732,0.151409999999983,0.0957299999999792,0.414733322733333,0.140822410833333,0.00167314794358677,0.00840794223275177
"D...401",100,-1,"beta","exponential","quantile_7","gaussian",0.10945,0.10173,0.107189999999998,0.101700000000003,0.273651359933333,0.224519030533333,0.000692699067539725,0.00543535374792318
"D...402",100,-1,"beta","exponential","quantile_7","t",0.16815,0.1243,0.171359999999984,0.120329999999931,0.497136795733333,0.437439629233333,0.000884320430726429,0.00594014515119823
"D...403",100,-1,"beta","exponential","quantile_8","gaussian",0.0939599999999999,0.11756,0.094689999999982,0.116700000000023,0.158906711433333,0.226871237533333,0.00108756442158812,0.0177474140764082
"D...404",100,-1,"beta","exponential","quantile_8","t",0.10893,0.06619,0.111800000000002,0.0648800000000033,0.214777262033333,0.0749051353333334,0.000812424013946494,0.0248509868226045
"D...405",100,-1,"beta","exponential","poly","gaussian",0.14408,0.2004,0.147990000000035,0.198979999999902,0.611773986733334,1.13477761973333,0.000703429545135508,0.00713444741327335
"D...406",100,-1,"beta","exponential","poly","t",0.14837,0.12798,0.148439999999944,0.125549999999967,0.471140000633333,0.247726250333333,0.000416590457905377,0.00559654859875625
"D...407",100,-1,"beta","exponential","akima","gaussian",0.09787,0.12582,0.104230000000047,0.12206000000001,0.142639422333333,0.260619444933333,0.00121307322605231,0.0248951355291308
"D...408",100,-1,"beta","exponential","akima","t",0.14621,0.07996,0.144300000000047,0.0800399999999105,0.477420223633333,0.147119468133333,0.00170381714272333,0.0169977197485165
"D...409",100,-1,"beta","uniform","quantile_1","gaussian",0.09053,0.12769,0.0901299999999988,0.124449999999927,0.154445202533333,0.370070351033333,0.00364158905708974,0.00457453268833064
"D...410",100,-1,"beta","uniform","quantile_1","t",0.12635,0.09609,0.126360000000016,0.0929499999999634,0.267631843333333,0.199731659633333,0.00333511093893299,0.00423092977330851
"D...411",100,-1,"beta","uniform","quantile_4","gaussian",0.0928599999999999,0.18047,0.0937900000000754,0.180570000000044,0.227117339633333,0.853839618833333,0.000834543620924194,0.00124577583151009
"D...412",100,-1,"beta","uniform","quantile_4","t",0.07821,0.08093,0.07645999999995,0.0839500000000001,0.101464925933333,0.112383167533333,0.000631630494088813,0.000981814802436497
"D...413",100,-1,"beta","uniform","quantile_7","gaussian",0.10453,0.07629,0.10552999999999,0.0733599999999928,0.291633300533333,0.0619959152333333,0.000887083151263529,0.000814412609820591
"D...414",100,-1,"beta","uniform","quantile_7","t",0.11468,0.07805,0.11306,0.0792600000000329,0.171453201433333,0.143160417333333,0.000880358148398733,0.000747697784526778
"D...415",100,-1,"beta","uniform","quantile_8","gaussian",0.12046,0.04916,0.119699999999949,0.0485000000000254,0.249956292233333,0.0509966918333333,0.00137418058870829,0.00091194074637122
"D...416",100,-1,"beta","uniform","quantile_8","t",0.1169,0.1165,0.115280000000042,0.118179999999964,0.239626076233333,0.313443946133333,0.000847676850414547,0.000986740475972404
"D...417",100,-1,"beta","uniform","poly","gaussian",0.0763,0.14244,0.0727399999999898,0.143390000000004,0.141476466133333,0.390473392133333,0.000573887530712421,0.000403928905792537
"D...418",100,-1,"beta","uniform","poly","t",0.08544,0.04752,0.0866899999999693,0.0480700000000083,0.188065975933333,0.0436889039333333,0.000425434750688825,0.000282483749042404
"D...419",100,-1,"beta","uniform","akima","gaussian",0.13351,0.11515,0.134310000000021,0.115839999999994,0.292557777533333,0.295004093633333,0.000923498982794,0.00115463310207266
"D...420",100,-1,"beta","uniform","akima","t",0.10316,0.10875,0.102900000000021,0.109849999999991,0.156284310233333,0.231491714133333,0.00168359170439216,0.00103307137813272
"D...421",100,-1,"beta","log_normal","quantile_1","gaussian",0.08822,0.17513,0.0849199999999536,0.175379999999961,0.183466678033333,0.780916998033333,0.0034573510902896,0.105417684729669
"D...422",100,-1,"beta","log_normal","quantile_1","t",0.13286,0.07916,0.132349999999977,0.0791400000000076,0.261368229933333,0.100303612933333,0.00381525670621105,0.158893881798608
"D...423",100,-1,"beta","log_normal","quantile_4","gaussian",0.17676,0.12183,0.174829999999994,0.123029999999987,0.290450297033333,0.270319676133333,0.00170470350913064,0.118458713755558
"D...424",100,-1,"beta","log_normal","quantile_4","t",0.1619,0.11757,0.164540000000017,0.117539999999991,0.405779988033334,0.393876857033333,0.000687255412145226,0.075048486101555
"D...425",100,-1,"beta","log_normal","quantile_7","gaussian",0.10815,0.12108,0.10740000000002,0.122840000000028,0.255880967633333,0.323681066633333,0.000898923131107257,0.309522083950833
"D...426",100,-1,"beta","log_normal","quantile_7","t",0.12404,0.23611,0.124299999999979,0.236100000000255,0.254979575233333,1.58301681563333,0.0016298593078584,0.0439088867623379
"D...427",100,-1,"beta","log_normal","quantile_8","gaussian",0.13099,0.09925,0.127129999999959,0.100339999999964,0.392730231333333,0.209107765333333,0.00080137528990348,0.0132541708851406
