"","n","target_corr_kendall","distribution_1","distribution_2","inv_cdf_type","copula_type","tv_val_1","tv_val_2","ks_stat_1","ks_stat_2","cvm_stat_1","cvm_stat_2","smoothness_1","smoothness_2"
"D...64",100,-1,"normal","student_t","quantile_4","t",0.13106,0.06458,0.130590000000005,0.0622699999999756,0.191515902233333,0.0582864073333334,0.00736730749722963,0.281842003069514
"D...65",100,-1,"normal","student_t","quantile_7","gaussian",0.12787,0.15018,0.127160000000001,0.151470000000016,0.311060024833333,0.553808602833333,0.00920942252479677,0.171732823920707
"D...66",100,-1,"normal","student_t","quantile_7","t",0.0659799999999999,0.06797,0.0666700000000077,0.0676000000000591,0.0517412270333333,0.0861260936333334,0.0119175730314414,0.0528547066684076
"D...67",100,-1,"normal","student_t","quantile_8","gaussian",0.1023,0.05645,0.100440000000032,0.0552800000000042,0.137567075833333,0.0493105096333333,0.00566677426236656,0.045399965780814
"D...68",100,-1,"normal","student_t","quantile_8","t",0.13208,0.17532,0.133110000000004,0.173790000000015,0.250084959633333,0.470557025333333,0.00781329256271326,0.0607076043789369
"D...69",100,-1,"normal","student_t","poly","gaussian",0.25686,0.26818,0.255859999999894,0.265810000000478,2.38582316203333,2.03601957233333,0.00249867304511286,0.0750514096773668
"D...70",100,-1,"normal","student_t","poly","t",0.14241,0.08157,0.143639999999989,0.0819599999999949,0.531795532533333,0.0951562213333333,0.00599925220639806,0.127281455471777
"D...71",100,-1,"normal","student_t","akima","gaussian",0.11239,0.0967,0.11445999999996,0.096330000000017,0.160448919533333,0.143694654933333,0.0113090038429668,0.555527646028361
"D...72",100,-1,"normal","student_t","akima","t",0.11028,0.11743,0.111220000000016,0.117810000000001,0.152233316233333,0.275834186933333,0.00713386108896948,0.115888549209091
"D...73",100,-1,"normal","mixture1","quantile_1","gaussian",0.0860299999999999,0.12104,0.0876100000000413,0.120889999999958,0.109277874333333,0.272012263133333,0.0253364637017477,0.0562981667051536
"D...74",100,-1,"normal","mixture1","quantile_1","t",0.10805,0.12317,0.110669999999991,0.124829999999932,0.205326894133333,0.362982869633334,0.0365919679970936,0.0531155576904646
"D...75",100,-1,"normal","mixture1","quantile_4","gaussian",0.09666,0.23399,0.0967999999999824,0.237140000000046,0.195169258933333,1.20817163963333,0.015832619213074,0.00991248031053401
"D...76",100,-1,"normal","mixture1","quantile_4","t",0.09994,0.13944,0.0994799999999892,0.144490000000006,0.181191332233333,0.219512281933333,0.011215035382491,0.0193576060170529
"D...77",100,-1,"normal","mixture1","quantile_7","gaussian",0.14517,0.11555,0.14494999999996,0.117479999999964,0.299646635633333,0.206816374233333,0.00714098171753399,0.0121108409974506
"D...78",100,-1,"normal","mixture1","quantile_7","t",0.10317,0.0983,0.10436000000005,0.0997799999999889,0.148186137433333,0.189383465633333,0.00703604558969544,0.0160925750067861
"D...79",100,-1,"normal","mixture1","quantile_8","gaussian",0.12354,0.14753,0.121629999999963,0.148579999999991,0.126119914633333,0.378757734133333,0.00663166282658779,0.0123787799700512
"D...80",100,-1,"normal","mixture1","quantile_8","t",0.23391,0.13438,0.23228000000036,0.138209999999999,2.34571374553333,0.615428914633333,0.00558159053864878,0.011052647451517
"D...81",100,-1,"normal","mixture1","poly","gaussian",0.18979,0.13765,0.187420000000064,0.136719999999957,1.02074241043333,0.390910519333333,0.00850827678835744,0.00698651710879013
"D...82",100,-1,"normal","mixture1","poly","t",0.14482,0.07148,0.147700000000053,0.0723400000000608,0.499354467433334,0.0823113123333334,0.00588600920041816,0.00954873643488848
"D...83",100,-1,"normal","mixture1","akima","gaussian",0.10137,0.11066,0.101809999999946,0.110489999999948,0.240459191833333,0.279353531033333,0.00690657594666916,0.0108391540910279
"D...84",100,-1,"normal","mixture1","akima","t",0.08499,0.1842,0.085299999999999,0.182559999999627,0.100203845033333,1.53135744963333,0.00758928780058916,0.0159449119658181
"D...85",100,-1,"normal","mixture2","quantile_1","gaussian",0.10528,0.07884,0.101749999999998,0.0779100000000041,0.104448357233333,0.0758044267333334,0.0322002778444364,0.0519970559233113
"D...86",100,-1,"normal","mixture2","quantile_1","t",0.2152,0.14984,0.211920000000048,0.150589999999878,1.02117509503333,0.564110167033333,0.0244369115375173,0.0379302705788287
"D...87",100,-1,"normal","mixture2","quantile_4","gaussian",0.15458,0.12407,0.152319999999942,0.123929999999949,0.462822009033333,0.359424012633333,0.0100737876641007,0.0104413544838559
"D...88",100,-1,"normal","mixture2","quantile_4","t",0.09328,0.11897,0.0920499999999889,0.116759999999961,0.143636160433333,0.288523323933333,0.00640850905252591,0.0145106622447596
"D...89",100,-1,"normal","mixture2","quantile_7","gaussian",0.1261,0.13252,0.127209999999982,0.131570000000203,0.303305087733333,0.586938232933333,0.00714037162167811,0.011219024224994
