"boot_iter","target_corr_kendall","dataset","inv_cdf_type","copula_type","tv_val_1","tv_val_2","ks_stat_1","ks_stat_2","cvm_stat_1","cvm_stat_2","smoothness_1","smoothness_2"
1,-1,"trees_df","quantile_1","gaussian",0.32258064516129,0.161290322580645,0.32258064516129,0.161290322580645,0.68921262573708,0.33749566423864,0.141487086866818,0.239871841666068
2,-1,"trees_df","quantile_1","gaussian",0.225806451612903,0.290322580645161,0.225806451612903,0.290322580645161,0.360388484217828,0.672563302115852,0.136879620907563,0.246153719813505
3,-1,"trees_df","quantile_1","gaussian",0.193548387096774,0.161290322580645,0.193548387096774,0.161290322580645,0.506070065903573,0.208463406174124,0.130421913829962,0.252275248722004
4,-1,"trees_df","quantile_1","gaussian",0.258064516129032,0.0967741935483871,0.258064516129032,0.0967741935483871,0.55185570586195,0.166840097121055,0.131949525237025,0.196335339665769
5,-1,"trees_df","quantile_1","gaussian",0.129032258064516,0.0967741935483871,0.129032258064516,0.0967741935483871,0.131460284425945,0.0773499826569545,0.103039069850456,0.19116369316803
6,-1,"trees_df","quantile_1","gaussian",0.129032258064516,0.0967741935483871,0.129032258064516,0.0967741935483871,0.15227193895248,0.154353104405134,0.135777131422759,0.23136655850016
7,-1,"trees_df","quantile_1","gaussian",0.161290322580645,0.161290322580645,0.161290322580645,0.161290322580645,0.458203260492542,0.123135622615331,0.127487751860206,0.198984182600945
8,-1,"trees_df","quantile_1","gaussian",0.0967741935483871,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.106486298994103,0.227193895248006,0.0981367065776474,0.231366558500157
9,-1,"trees_df","quantile_1","gaussian",0.161290322580645,0.290322580645161,0.161290322580645,0.290322580645161,0.150190773499827,0.543531044051335,0.129274833295602,0.235657574476697
10,-1,"trees_df","quantile_1","gaussian",0.0967741935483871,0.354838709677419,0.0967741935483871,0.354838709677419,0.123135622615331,1.86923343739161,0.135924646689678,0.181042158728807
1,-1,"mtcars_df","quantile_1","gaussian",0.3125,0.15625,0.3125,0.15625,1.63736979166667,0.176432291666667,0.193509386740034,1.93464339077211
2,-1,"mtcars_df","quantile_1","gaussian",0.1875,0.09375,0.1875,0.09375,0.332682291666667,0.119791666666667,0.232907038481762,1.96805079338114
3,-1,"mtcars_df","quantile_1","gaussian",0.25,0.21875,0.25,0.21875,0.688151041666667,0.342447916666667,0.242298179536299,1.99925111505609
4,-1,"mtcars_df","quantile_1","gaussian",0.15625,0.09375,0.15625,0.09375,0.235026041666667,0.104166666666667,0.199038765212486,2.18461807262905
5,-1,"mtcars_df","quantile_1","gaussian",0.28125,0.21875,0.28125,0.21875,0.828776041666667,0.240885416666667,0.229221032544392,3.19393695889974
6,-1,"mtcars_df","quantile_1","gaussian",0.1875,0.21875,0.1875,0.21875,0.293619791666667,0.822916666666667,0.245838134332532,2.92806275674195
7,-1,"mtcars_df","quantile_1","gaussian",0.125,0.15625,0.125,0.15625,0.145182291666667,0.332682291666667,0.290699517743717,2.33063827320586
8,-1,"mtcars_df","quantile_1","gaussian",0.15625,0.15625,0.15625,0.15625,0.104166666666667,0.213541666666667,0.2524334774476,2.22111327171964
9,-1,"mtcars_df","quantile_1","gaussian",0.09375,0.25,0.09375,0.25,0.133463541666667,0.369791666666667,0.298018165303558,2.39048946678134
10,-1,"mtcars_df","quantile_1","gaussian",0.0625,0.15625,0.0625,0.15625,0.0787760416666667,0.141276041666667,0.250724795429735,2.3254734280012
1,-1,"swiss_df","quantile_1","gaussian",0.0851063829787234,0.148936170212766,0.0851063829787234,0.148936170212766,0.0994416779840049,0.305869926060057,0.434113287207035,0.664334371979256
2,-1,"swiss_df","quantile_1","gaussian",0.0851063829787234,0.106382978723404,0.0851063829787234,0.106382978723404,0.13022483778482,0.0831447110306323,0.502758363814278,0.737575722079791
3,-1,"swiss_df","quantile_1","gaussian",0.106382978723404,0.191489361702128,0.106382978723404,0.191489361702128,0.157386449373774,0.28866757205372,0.464660366234669,0.566269141752595
4,-1,"swiss_df","quantile_1","gaussian",0.127659574468085,0.148936170212766,0.127659574468085,0.148936170212766,0.128414063678889,0.122981741361098,0.56416176664129,0.716589978012095
5,-1,"swiss_df","quantile_1","gaussian",0.276595744680851,0.234042553191489,0.276595744680851,0.234042553191489,0.674362456616871,0.739550324430361,0.456370447562345,0.629021966680361
6,-1,"swiss_df","quantile_1","gaussian",0.0851063829787234,0.148936170212766,0.0851063829787234,0.148936170212766,0.0677531311302248,0.285951410894824,0.581719206241517,0.681173917381868
7,-1,"swiss_df","quantile_1","gaussian",0.361702127659574,0.234042553191489,0.361702127659574,0.234042553191489,1.81605553040592,1.38871284140637,0.597812382084247,0.590025808846026
8,-1,"swiss_df","quantile_1","gaussian",0.170212765957447,0.106382978723404,0.170212765957447,0.106382978723404,0.402746340727328,0.101252452089935,0.537195588349549,0.553486122653619
9,-1,"swiss_df","quantile_1","gaussian",0.148936170212766,0.148936170212766,0.148936170212766,0.148936170212766,0.232533574769881,0.275086766259242,0.52523536134771,0.624482662553812
10,-1,"swiss_df","quantile_1","gaussian",0.170212765957447,0.148936170212766,0.170212765957447,0.148936170212766,0.261505960464765,0.231628187716916,0.467090767418339,0.677767399042127
1,-1,"rock_df","quantile_1","gaussian",0.166666666666667,0.104166666666667,0.166666666666667,0.104166666666667,0.341145833333333,0.137152777777778,70.591761757946,41.9382619584546
2,-1,"rock_df","quantile_1","gaussian",0.0833333333333334,0.25,0.0833333333333333,0.25,0.114583333333333,0.769965277777778,94.5957018141507,47.3179821405929
