"","target_corr_kendall","dataset","inv_cdf_type","s1","s2","tv1","tv2"
"1",-1,"trees_df","quantile_1",0.141699385992105,0.215785999698314,0.0967741935483871,0.193548387096774
"2",-1,"mtcars_df","quantile_1",0.176123070519554,3.4549535799066,0.3125,0.3125
"3",-1,"swiss_df","quantile_1",0.526492953514709,0.679391680860136,0.127659574468085,0.276595744680851
"4",-1,"rock_df","quantile_1",109.771387999581,38.9711219811269,0.229166666666667,0.25
"5",-1,"USArrests_df","quantile_1",0.11731667434698,2.28891435149234,0.16,0.0800000000000001
"6",-1,"iris_df","quantile_1",0.0197283258821589,0.0147115211213323,0.1,0.0733333333333333
"7",-1,"airquality_df","quantile_1",0.852924960358198,0.161161556195924,0.144144144144144,0.126126126126126
"8",-1,"faithful_df","quantile_1",0.0246586491282991,0.273030194980587,0.088235294117647,0.0514705882352941
"9",-1,"ChickWeight_df","quantile_1",1.20686812824582,0.201593249477825,0.0259515570934256,0.0294117647058824
"10",-1,"diamonds_df","quantile_1",0.0467537953572345,32.5645277026485,0.0104,0.0106
"11",-1,"trees_df","quantile_4",0.0153396598594362,0.0367600114250566,0.129032258064516,0.0967741935483871
"12",-1,"mtcars_df","quantile_4",0.0299176014745114,0.472634360245328,0.1875,0.25
"13",-1,"swiss_df","quantile_4",0.105334578363039,0.0997143374923912,0.212765957446808,0.127659574468085
"14",-1,"rock_df","quantile_4",19.9847096203602,7.79075767373672,0.166666666666667,0.125
"15",-1,"USArrests_df","quantile_4",0.0235123033879292,0.42694033679077,0.14,0.16
"16",-1,"iris_df","quantile_4",0.00749587163297707,0.006370898723225,0.133333333333333,0.06
"17",-1,"airquality_df","quantile_4",0.425406334823571,0.0379935209725608,0.108108108108108,0.072072072072072
"18",-1,"faithful_df","quantile_4",0.00759859266855353,0.124784763186258,0.0477941176470589,0.0551470588235294
"19",-1,"ChickWeight_df","quantile_4",0.964861882800417,0.136413266625964,0.0207612456747406,0.027681660899654
"20",-1,"diamonds_df","quantile_4",0.0351844787415621,31.5304555481924,0.0238,0.0172
"21",-1,"trees_df","quantile_7",0.0202099030015812,0.0391042571730994,0.129032258064516,0.129032258064516
"22",-1,"mtcars_df","quantile_7",0.0414060950820669,0.301931580139063,0.34375,0.1875
"23",-1,"swiss_df","quantile_7",0.10507792048155,0.100215095200192,0.106382978723404,0.106382978723404
"24",-1,"rock_df","quantile_7",19.1499522645624,7.60308967841195,0.1875,0.145833333333333
"25",-1,"USArrests_df","quantile_7",0.0259104575766421,0.4063543924703,0.1,0.16
"26",-1,"iris_df","quantile_7",0.00716814287528681,0.00630639227775011,0.113333333333333,0.0866666666666667
"27",-1,"airquality_df","quantile_7",0.235801696046571,0.044268220281034,0.0720720720720721,0.0630630630630631
"28",-1,"faithful_df","quantile_7",0.00947549666702118,0.117437452675756,0.0477941176470588,0.0661764705882353
"29",-1,"ChickWeight_df","quantile_7",1.01033606388901,0.139477858675798,0.041522491349481,0.0467128027681661
"30",-1,"diamonds_df","quantile_7",0.0151361041004392,34.6294284859404,0.0202,0.011
"31",-1,"trees_df","quantile_8",0.0203534583553934,0.0385490050079466,0.129032258064516,0.193548387096774
"32",-1,"mtcars_df","quantile_8",0.03178168122644,0.318075309667343,0.125,0.15625
"33",-1,"swiss_df","quantile_8",0.0883877233242067,0.0950967992649957,0.191489361702128,0.234042553191489
"34",-1,"rock_df","quantile_8",17.4954677640721,5.97613674055631,0.104166666666667,0.166666666666667
"35",-1,"USArrests_df","quantile_8",0.0234125648558171,0.435886033320762,0.12,0.12
"36",-1,"iris_df","quantile_8",0.00727482654285228,0.00700356234367845,0.133333333333333,0.12
"37",-1,"airquality_df","quantile_8",0.415297276078354,0.0362067097246743,0.117117117117117,0.0810810810810811
"38",-1,"faithful_df","quantile_8",0.00845824589926642,0.106248862873543,0.036764705882353,0.0514705882352942
"39",-1,"ChickWeight_df","quantile_8",0.819103620692571,0.138977714506915,0.0242214532871972,0.0467128027681661
"40",-1,"diamonds_df","quantile_8",0.0363809209066252,32.20447228463,0.0176,0.0202
"41",-1,"trees_df","linear",0.0135659420988262,0.0200211198148649,0.32258064516129,0.129032258064516
"42",-1,"mtcars_df","linear",0.0336521380940935,0.205225829825601,0.15625,0.34375
"43",-1,"swiss_df","linear",0.0831079885913253,0.0863265793831484,0.212765957446809,0.212765957446808
"44",-1,"rock_df","linear",10.8918377448186,10.8451510668638,0.104166666666667,0.25
"45",-1,"USArrests_df","linear",0.0111718085155654,0.297512314172279,0.12,0.1
"46",-1,"iris_df","linear",0.00290256997797317,0.00384913256629128,0.0866666666666667,0.246666666666667
"47",-1,"airquality_df","linear",0.300354740914791,0.0198213958784718,0.0900900900900902,0.0900900900900901
"48",-1,"faithful_df","linear",0.007435911551606,0.0575096132467506,0.0588235294117647,0.121323529411765
"49",-1,"ChickWeight_df","linear",0.849032598075525,0.00815060206931004,0.0380622837370242,0.131487889273356
"50",-1,"diamonds_df","linear",0.0149283925697086,32.3213322908576,0.0496,0.0128
"51",-1,"trees_df","poly",0.0138639575010454,0.0209947201501728,0.129032258064516,0.225806451612903
"52",-1,"mtcars_df","poly",0.0412105634392594,0.545410200724975,0.21875,0.25
"53",-1,"swiss_df","poly",0.138989093156288,0.0693969531982345,0.106382978723404,0.106382978723404
"54",-1,"rock_df","poly",8.5711796432746,5.30617411864884,0.354166666666667,0.166666666666667
"55",-1,"USArrests_df","poly",0.0144608152416696,0.294604843263001,0.22,0.26
"56",-1,"iris_df","poly",0.00318709972169058,0.00358541152017842,0.1,0.106666666666667
