"","target_corr_kendall","dataset","inv_cdf_type","s1","s2"
"1",-1,"trees_df","quantile_1",0.141699385992105,0.222536442768692
"2",-1,"mtcars_df","quantile_1",0.248153899653064,3.2002052211923
"3",-1,"swiss_df","quantile_1",0.533057447585894,0.583598183122907
"4",-1,"rock_df","quantile_1",104.95984587737,33.8039749173283
"5",-1,"USArrests_df","quantile_1",0.138428642781937,2.5149322062908
"6",-1,"iris_df","quantile_1",0.0197283258821588,0.0171704362786225
"7",-1,"airquality_df","quantile_1",1.39102587648872,0.124745875592602
"8",-1,"faithful_df","quantile_1",0.0202737215455961,0.240026504668511
"9",-1,"ChickWeight_df","quantile_1",1.20853744963737,0.201593249477825
"10",-1,"diamonds_df","quantile_1",0.0456853266697373,33.1401490022105
"11",-1,"trees_df","quantile_4",0.015653822662053,0.0356890524933989
"12",-1,"mtcars_df","quantile_4",0.0415796719031602,0.54741675411386
"13",-1,"swiss_df","quantile_4",0.146446353207212,0.0943266224192545
"14",-1,"rock_df","quantile_4",16.6564775935654,6.8621873411402
"15",-1,"USArrests_df","quantile_4",0.0279968454629153,0.411816648744507
"16",-1,"iris_df","quantile_4",0.00833469744676697,0.00608839955717118
"17",-1,"airquality_df","quantile_4",0.757633736457199,0.0461256813530587
"18",-1,"faithful_df","quantile_4",0.00812368002321491,0.119010542590863
"19",-1,"ChickWeight_df","quantile_4",0.821767201937784,0.134711871984865
"20",-1,"diamonds_df","quantile_4",0.0233067894828571,33.3601151357255
"21",-1,"trees_df","quantile_7",0.0181945252329416,0.0333534443342741
"22",-1,"mtcars_df","quantile_7",0.0423344389527793,0.277072175199289
"23",-1,"swiss_df","quantile_7",0.0812895546799074,0.115531138944171
"24",-1,"rock_df","quantile_7",17.8906816849528,8.35715790715507
"25",-1,"USArrests_df","quantile_7",0.0169405476381466,0.424570961162282
"26",-1,"iris_df","quantile_7",0.00698445895196164,0.00522555924278591
"27",-1,"airquality_df","quantile_7",0.228951819720159,0.0366981477067126
"28",-1,"faithful_df","quantile_7",0.00839812583010651,0.111917485190648
"29",-1,"ChickWeight_df","quantile_7",0.809362573307871,0.139915709554877
"30",-1,"diamonds_df","quantile_7",0.0194130217400326,34.1526170775472
"31",-1,"trees_df","quantile_8",0.0192321547594087,0.0368424515523144
"32",-1,"mtcars_df","quantile_8",0.0378424156599517,0.341531820962649
"33",-1,"swiss_df","quantile_8",0.0799561518685723,0.115723748969692
"34",-1,"rock_df","quantile_8",17.1197358227268,6.65645247665953
"35",-1,"USArrests_df","quantile_8",0.0240733047074388,0.519981585174983
"36",-1,"iris_df","quantile_8",0.00746324292278202,0.00544987548403826
"37",-1,"airquality_df","quantile_8",0.55802553254626,0.0526868260927684
"38",-1,"faithful_df","quantile_8",0.00898882766691859,0.110340472608645
"39",-1,"ChickWeight_df","quantile_8",0.632640042991274,0.138733055108878
"40",-1,"diamonds_df","quantile_8",0.0378007573359314,33.552890930734
"41",-1,"trees_df","linear",0.0185730922730745,0.0179087462435474
"42",-1,"mtcars_df","linear",0.0223632348651645,0.39667053735738
"43",-1,"swiss_df","linear",0.10897566035719,0.0817365407340313
"44",-1,"rock_df","linear",17.8209656901105,5.36249965874775
"45",-1,"USArrests_df","linear",0.0104715204843398,0.392903071898046
"46",-1,"iris_df","linear",0.00399114605136629,0.00340625199707071
"47",-1,"airquality_df","linear",0.413088319363868,0.0279608511743181
"48",-1,"faithful_df","linear",0.00485185083662553,0.05380809461934
"49",-1,"ChickWeight_df","linear",0.716339825463901,0.00844417603658673
"50",-1,"diamonds_df","linear",0.044948066247951,33.1723523068268
"51",-1,"trees_df","poly",0.0499275601453826,0.0446544389093546
"52",-1,"mtcars_df","poly",0.0360262037037272,0.108831588639351
"53",-1,"swiss_df","poly",0.303199389169232,0.743552630207866
"54",-1,"rock_df","poly",8.74328149281659,131.112459042711
"55",-1,"USArrests_df","poly",0.0166321080849188,0.318950786728394
"56",-1,"iris_df","poly",0.00320082974721649,0.00274895845145875
"57",-1,"airquality_df","poly",0.263087067388762,0.0230366336260382
"58",-1,"faithful_df","poly",0.00354248681418605,0.0323360841223614
"59",-1,"ChickWeight_df","poly",0.4033793366039,0.103108647462682
"60",-1,"diamonds_df","poly",0.00344490805142459,27.9227261635566
"61",-1,"trees_df","akima",0.0195975951340768,0.0230278506444729
"62",-1,"mtcars_df","akima",0.0240151932877077,0.198089711028558
"63",-1,"swiss_df","akima",0.113482256505549,0.0746646571345653
"64",-1,"rock_df","akima",31.805225681408,11.0545454839012
"65",-1,"USArrests_df","akima",0.0178753917649877,0.374577469218458
"66",-1,"iris_df","akima",0.00622880329654101,0.00294919938160822
"67",-1,"airquality_df","akima",0.179647248032654,0.0311763049165605
"68",-1,"faithful_df","akima",0.00768602159562376,0.0503164720428844
"69",-1,"ChickWeight_df","akima",0.758183480674773,0.00315685195364961
"70",-1,"diamonds_df","akima",0.0516872182808139,34.6854951959482
"71",-0.9,"trees_df","quantile_1",0.103367272429151,0.193883204299224
"72",-0.9,"mtcars_df","quantile_1",0.249723689383436,3.32392740341342
"73",-0.9,"swiss_df","quantile_1",0.557514201262765,0.732058136713443
"74",-0.9,"rock_df","quantile_1",71.5354812984692,33.4093106109781
"75",-0.9,"USArrests_df","quantile_1",0.12623801422962,2.07473346428056
"76",-0.9,"iris_df","quantile_1",0.0238361774144784,0.0153501272949475
"77",-0.9,"airquality_df","quantile_1",0.817885978941257,0.147935360353049
"78",-0.9,"faithful_df","quantile_1",0.0203194041447588,0.233893156406564
